countyname_fips,state,fipscounty,fy2023cbsa,fy2023cbsaname,ssa_code,state_name,countyname_rate
ESCAMBIA,FL,12033,37860.0,"Pensacola-Ferry Pass-Brent, FL",10160,FLORIDA,ESCAMBIA
FLAGLER,FL,12035,19660.0,"Deltona-Daytona Beach-Ormond Beach, FL",10170,FLORIDA,FLAGLER
FRANKLIN,FL,12037,,,10180,FLORIDA,FRANKLIN
GADSDEN,FL,12039,45220.0,"Tallahassee, FL",10190,FLORIDA,GADSDEN
GILCHRIST,FL,12041,23540.0,"Gainesville, FL",10200,FLORIDA,GILCHRIST
GLADES,FL,12043,,,10210,FLORIDA,GLADES
GULF,FL,12045,,,10220,FLORIDA,GULF
HAMILTON,FL,12047,,,10230,FLORIDA,HAMILTON
HARDEE,FL,12049,,,10240,FLORIDA,HARDEE
HENDRY,FL,12051,,,10250,FLORIDA,HENDRY
HERNANDO,FL,12053,45300.0,"Tampa-St. Petersburg-Clearwater, FL",10260,FLORIDA,HERNANDO
HIGHLANDS,FL,12055,42700.0,"Sebring-Avon Park, FL",10270,FLORIDA,HIGHLANDS
HILLSBOROUGH,FL,12057,45300.0,"Tampa-St. Petersburg-Clearwater, FL",10280,FLORIDA,HILLSBOROUGH
HOLMES,FL,12059,,,10290,FLORIDA,HOLMES
INDIAN RIVER,FL,12061,42680.0,"Sebastian-Vero Beach, FL",10300,FLORIDA,INDIAN RIVER
JACKSON,FL,12063,,,10310,FLORIDA,JACKSON
JEFFERSON,FL,12065,45220.0,"Tallahassee, FL",10320,FLORIDA,JEFFERSON
LAFAYETTE,FL,12067,,,10330,FLORIDA,LAFAYETTE
LAKE,FL,12069,36740.0,"Orlando-Kissimmee-Sanford, FL",10340,FLORIDA,LAKE
LEE,FL,12071,15980.0,"Cape Coral-Fort Myers, FL",10350,FLORIDA,LEE
LEON,FL,12073,45220.0,"Tallahassee, FL",10360,FLORIDA,LEON
LEVY,FL,12075,23540.0,"Gainesville, FL",10370,FLORIDA,LEVY
LIBERTY,FL,12077,,,10380,FLORIDA,LIBERTY
MADISON,FL,12079,,,10390,FLORIDA,MADISON
MANATEE,FL,12081,35840.0,"North Port-Sarasota-Bradenton, FL",10400,FLORIDA,MANATEE
MARION,FL,12083,36100.0,"Ocala, FL",10410,FLORIDA,MARION
MARTIN,FL,12085,38940.0,"Port St. Lucie, FL",10420,FLORIDA,MARTIN
MIAMI-DADE,FL,12086,33124.0,"Miami-Miami Beach-Kendall, FL",10120,FLORIDA,MIAMI-DADE
MONROE,FL,12087,,,10430,FLORIDA,MONROE
NASSAU,FL,12089,27260.0,"Jacksonville, FL",10440,FLORIDA,NASSAU
OKALOOSA,FL,12091,18880.0,"Crestview-Fort Walton Beach-Destin, FL",10450,FLORIDA,OKALOOSA
OKEECHOBEE,FL,12093,,,10460,FLORIDA,OKEECHOBEE
ORANGE,FL,12095,36740.0,"Orlando-Kissimmee-Sanford, FL",10470,FLORIDA,ORANGE
OSCEOLA,FL,12097,36740.0,"Orlando-Kissimmee-Sanford, FL",10480,FLORIDA,OSCEOLA
PALM BEACH,FL,12099,48424.0,"West Palm Beach-Boca Raton-Boynton Beach, FL",10490,FLORIDA,PALM BEACH
PASCO,FL,12101,45300.0,"Tampa-St. Petersburg-Clearwater, FL",10500,FLORIDA,PASCO
PINELLAS,FL,12103,45300.0,"Tampa-St. Petersburg-Clearwater, FL",10510,FLORIDA,PINELLAS
POLK,FL,12105,29460.0,"Lakeland-Winter Haven, FL",10520,FLORIDA,POLK
PUTNAM,FL,12107,,,10530,FLORIDA,PUTNAM
ST. JOHNS,FL,12109,27260.0,"Jacksonville, FL",10540,FLORIDA,ST. JOHNS
ST. LUCIE,FL,12111,38940.0,"Port St. Lucie, FL",10550,FLORIDA,ST. LUCIE
SANTA ROSA,FL,12113,37860.0,"Pensacola-Ferry Pass-Brent, FL",10560,FLORIDA,SANTA ROSA
SARASOTA,FL,12115,35840.0,"North Port-Sarasota-Bradenton, FL",10570,FLORIDA,SARASOTA
SEMINOLE,FL,12117,36740.0,"Orlando-Kissimmee-Sanford, FL",10580,FLORIDA,SEMINOLE
SUMTER,FL,12119,45540.0,"The Villages, FL",10590,FLORIDA,SUMTER
SUWANNEE,FL,12121,,,10600,FLORIDA,SUWANNEE
TAYLOR,FL,12123,,,10610,FLORIDA,TAYLOR
UNION,FL,12125,,,10620,FLORIDA,UNION
VOLUSIA,FL,12127,19660.0,"Deltona-Daytona Beach-Ormond Beach, FL",10630,FLORIDA,VOLUSIA
WAKULLA,FL,12129,45220.0,"Tallahassee, FL",10640,FLORIDA,WAKULLA
WALTON,FL,12131,18880.0,"Crestview-Fort Walton Beach-Destin, FL",10650,FLORIDA,WALTON
WASHINGTON,FL,12133,,,10660,FLORIDA,WASHINGTON
STATEWIDE,FL,12990,,,,,
APPLING,GA,13001,,,11000,GEORGIA,APPLING
ATKINSON,GA,13003,,,11010,GEORGIA,ATKINSON
BACON,GA,13005,,,11011,GEORGIA,BACON
BAKER,GA,13007,,,11020,GEORGIA,BAKER
BALDWIN,GA,13009,,,11030,GEORGIA,BALDWIN
BANKS,GA,13011,,,11040,GEORGIA,BANKS
BARROW,GA,13013,12060.0,"Atlanta-Sandy Springs-Alpharetta, GA",11050,GEORGIA,BARROW
BARTOW,GA,13015,12060.0,"Atlanta-Sandy Springs-Alpharetta, GA",11060,GEORGIA,BARTOW
BEN HILL,GA,13017,,,11070,GEORGIA,BEN HILL
BERRIEN,GA,13019,,,11080,GEORGIA,BERRIEN
BIBB,GA,13021,31420.0,"Macon-Bibb County, GA",11090,GEORGIA,BIBB
BLECKLEY,GA,13023,,,11100,GEORGIA,BLECKLEY
BRANTLEY,GA,13025,15260.0,"Brunswick, GA",11110,GEORGIA,BRANTLEY
BROOKS,GA,13027,46660.0,"Valdosta, GA",11120,GEORGIA,BROOKS
BRYAN,GA,13029,42340.0,"Savannah, GA",11130,GEORGIA,BRYAN
BULLOCH,GA,13031,,,11140,GEORGIA,BULLOCH
BURKE,GA,13033,12260.0,"Augusta-Richmond County, GA-SC",11150,GEORGIA,BURKE
BUTTS,GA,13035,12060.0,"Atlanta-Sandy Springs-Alpharetta, GA",11160,GEORGIA,BUTTS
CALHOUN,GA,13037,,,11161,GEORGIA,CALHOUN
CAMDEN,GA,13039,,,11170,GEORGIA,CAMDEN
CANDLER,GA,13043,,,11180,GEORGIA,CANDLER
CARROLL,GA,13045,12060.0,"Atlanta-Sandy Springs-Alpharetta, GA",11190,GEORGIA,CARROLL
CATOOSA,GA,13047,16860.0,"Chattanooga, TN-GA",11200,GEORGIA,CATOOSA
CHARLTON,GA,13049,,,11210,GEORGIA,CHARLTON
CHATHAM,GA,13051,42340.0,"Savannah, GA",11220,GEORGIA,CHATHAM
CHATTAHOOCHEE,GA,13053,17980.0,"Columbus, GA-AL",11230,GEORGIA,CHATTAHOOCHEE
CHATTOOGA,GA,13055,,,11240,GEORGIA,CHATTOOGA
CHEROKEE,GA,13057,12060.0,"Atlanta-Sandy Springs-Alpharetta, GA",11250,GEORGIA,CHEROKEE
CLARKE,GA,13059,12020.0,"Athens-Clarke County, GA",11260,GEORGIA,CLARKE
CLAY,GA,13061,,,11270,GEORGIA,CLAY
CLAYTON,GA,13063,12060.0,"Atlanta-Sandy Springs-Alpharetta, GA",11280,GEORGIA,CLAYTON
CLINCH,GA,13065,,,11281,GEORGIA,CLINCH
COBB,GA,13067,12060.0,"Atlanta-Sandy Springs-Alpharetta, GA",11290,GEORGIA,COBB
COFFEE,GA,13069,,,11291,GEORGIA,COFFEE
COLQUITT,GA,13071,,,11300,GEORGIA,COLQUITT
COLUMBIA,GA,13073,12260.0,"Augusta-Richmond County, GA-SC",11310,GEORGIA,COLUMBIA
COOK,GA,13075,,,11311,GEORGIA,COOK
COWETA,GA,13077,12060.0,"Atlanta-Sandy Springs-Alpharetta, GA",11320,GEORGIA,COWETA
CRAWFORD,GA,13079,31420.0,"Macon-Bibb County, GA",11330,GEORGIA,CRAWFORD
CRISP,GA,13081,,,11340,GEORGIA,CRISP
DADE,GA,13083,16860.0,"Chattanooga, TN-GA",11341,GEORGIA,DADE
DAWSON,GA,13085,12060.0,"Atlanta-Sandy Springs-Alpharetta, GA",11350,GEORGIA,DAWSON
DECATUR,GA,13087,,,11360,GEORGIA,DECATUR
DE KALB,GA,13089,12060.0,"Atlanta-Sandy Springs-Alpharetta, GA",11370,GEORGIA,DEKALB
DODGE,GA,13091,,,11380,GEORGIA,DODGE
DOOLY,GA,13093,,,11381,GEORGIA,DOOLY
DOUGHERTY,GA,13095,10500.0,"Albany, GA",11390,GEORGIA,DOUGHERTY
DOUGLAS,GA,13097,12060.0,"Atlanta-Sandy Springs-Alpharetta, GA",11400,GEORGIA,DOUGLAS
EARLY,GA,13099,,,11410,GEORGIA,EARLY
ECHOLS,GA,13101,46660.0,"Valdosta, GA",11420,GEORGIA,ECHOLS
EFFINGHAM,GA,13103,42340.0,"Savannah, GA",11421,GEORGIA,EFFINGHAM
ELBERT,GA,13105,,,11430,GEORGIA,ELBERT
EMANUEL,GA,13107,,,11440,GEORGIA,EMANUEL
EVANS,GA,13109,,,11441,GEORGIA,EVANS
FANNIN,GA,13111,,,11450,GEORGIA,FANNIN
FAYETTE,GA,13113,12060.0,"Atlanta-Sandy Springs-Alpharetta, GA",11451,GEORGIA,FAYETTE
FLOYD,GA,13115,40660.0,"Rome, GA",11460,GEORGIA,FLOYD
FORSYTH,GA,13117,12060.0,"Atlanta-Sandy Springs-Alpharetta, GA",11461,GEORGIA,FORSYTH
FRANKLIN,GA,13119,,,11462,GEORGIA,FRANKLIN
FULTON,GA,13121,12060.0,"Atlanta-Sandy Springs-Alpharetta, GA",11470,GEORGIA,FULTON
GILMER,GA,13123,,,11471,GEORGIA,GILMER
GLASCOCK,GA,13125,,,11480,GEORGIA,GLASCOCK
GLYNN,GA,13127,15260.0,"Brunswick, GA",11490,GEORGIA,GLYNN
GORDON,GA,13129,,,11500,GEORGIA,GORDON
GRADY,GA,13131,,,11510,GEORGIA,GRADY
GREENE,GA,13133,,,11520,GEORGIA,GREENE
GWINNETT,GA,13135,12060.0,"Atlanta-Sandy Springs-Alpharetta, GA",11530,GEORGIA,GWINNETT
HABERSHAM,GA,13137,,,11540,GEORGIA,HABERSHAM
HALL,GA,13139,23580.0,"Gainesville, GA",11550,GEORGIA,HALL
HANCOCK,GA,13141,,,11560,GEORGIA,HANCOCK
HARALSON,GA,13143,12060.0,"Atlanta-Sandy Springs-Alpharetta, GA",11570,GEORGIA,HARALSON
HARRIS,GA,13145,17980.0,"Columbus, GA-AL",11580,GEORGIA,HARRIS
HART,GA,13147,,,11581,GEORGIA,HART
HEARD,GA,13149,12060.0,"Atlanta-Sandy Springs-Alpharetta, GA",11590,GEORGIA,HEARD
HENRY,GA,13151,12060.0,"Atlanta-Sandy Springs-Alpharetta, GA",11591,GEORGIA,HENRY
HOUSTON,GA,13153,47580.0,"Warner Robins, GA",11600,GEORGIA,HOUSTON
IRWIN,GA,13155,,,11601,GEORGIA,IRWIN
JACKSON,GA,13157,,,11610,GEORGIA,JACKSON
JASPER,GA,13159,12060.0,"Atlanta-Sandy Springs-Alpharetta, GA",11611,GEORGIA,JASPER
JEFF DAVIS,GA,13161,,,11612,GEORGIA,JEFF DAVIS
JEFFERSON,GA,13163,,,11620,GEORGIA,JEFFERSON
JENKINS,GA,13165,,,11630,GEORGIA,JENKINS
JOHNSON,GA,13167,,,11640,GEORGIA,JOHNSON
JONES,GA,13169,31420.0,"Macon-Bibb County, GA",11650,GEORGIA,JONES
LAMAR,GA,13171,12060.0,"Atlanta-Sandy Springs-Alpharetta, GA",11651,GEORGIA,LAMAR
LANIER,GA,13173,46660.0,"Valdosta, GA",11652,GEORGIA,LANIER
LAURENS,GA,13175,,,11660,GEORGIA,LAURENS
LEE,GA,13177,10500.0,"Albany, GA",11670,GEORGIA,LEE
LIBERTY,GA,13179,25980.0,"Hinesville, GA",11680,GEORGIA,LIBERTY
LINCOLN,GA,13181,12260.0,"Augusta-Richmond County, GA-SC",11690,GEORGIA,LINCOLN
LONG,GA,13183,25980.0,"Hinesville, GA",11691,GEORGIA,LONG
LOWNDES,GA,13185,46660.0,"Valdosta, GA",11700,GEORGIA,LOWNDES
LUMPKIN,GA,13187,,,11701,GEORGIA,LUMPKIN
MC DUFFIE,GA,13189,12260.0,"Augusta-Richmond County, GA-SC",11702,GEORGIA,MCDUFFIE
MC INTOSH,GA,13191,15260.0,"Brunswick, GA",11703,GEORGIA,MCINTOSH
MACON,GA,13193,,,11710,GEORGIA,MACON
MADISON,GA,13195,12020.0,"Athens-Clarke County, GA",11720,GEORGIA,MADISON
MARION,GA,13197,17980.0,"Columbus, GA-AL",11730,GEORGIA,MARION
MERIWETHER,GA,13199,12060.0,"Atlanta-Sandy Springs-Alpharetta, GA",11740,GEORGIA,MERIWETHER
MILLER,GA,13201,,,11741,GEORGIA,MILLER
MITCHELL,GA,13205,,,11750,GEORGIA,MITCHELL
MONROE,GA,13207,31420.0,"Macon-Bibb County, GA",11760,GEORGIA,MONROE
MONTGOMERY,GA,13209,,,11770,GEORGIA,MONTGOMERY
MORGAN,GA,13211,12060.0,"Atlanta-Sandy Springs-Alpharetta, GA",11771,GEORGIA,MORGAN
MURRAY,GA,13213,19140.0,"Dalton, GA",11772,GEORGIA,MURRAY
MUSCOGEE,GA,13215,17980.0,"Columbus, GA-AL",11780,GEORGIA,MUSCOGEE
NEWTON,GA,13217,12060.0,"Atlanta-Sandy Springs-Alpharetta, GA",11790,GEORGIA,NEWTON
OCONEE,GA,13219,12020.0,"Athens-Clarke County, GA",11800,GEORGIA,OCONEE
OGLETHORPE,GA,13221,12020.0,"Athens-Clarke County, GA",11801,GEORGIA,OGLETHORPE
PAULDING,GA,13223,12060.0,"Atlanta-Sandy Springs-Alpharetta, GA",11810,GEORGIA,PAULDING
PEACH,GA,13225,47580.0,"Warner Robins, GA",11811,GEORGIA,PEACH
PICKENS,GA,13227,12060.0,"Atlanta-Sandy Springs-Alpharetta, GA",11812,GEORGIA,PICKENS
PIERCE,GA,13229,,,11820,GEORGIA,PIERCE
PIKE,GA,13231,12060.0,"Atlanta-Sandy Springs-Alpharetta, GA",11821,GEORGIA,PIKE
POLK,GA,13233,,,11830,GEORGIA,POLK
PULASKI,GA,13235,,,11831,GEORGIA,PULASKI
PUTNAM,GA,13237,,,11832,GEORGIA,PUTNAM
QUITMAN,GA,13239,,,11833,GEORGIA,QUITMAN
RABUN,GA,13241,,,11834,GEORGIA,RABUN
RANDOLPH,GA,13243,,,11835,GEORGIA,RANDOLPH
RICHMOND,GA,13245,12260.0,"Augusta-Richmond County, GA-SC",11840,GEORGIA,RICHMOND
ROCKDALE,GA,13247,12060.0,"Atlanta-Sandy Springs-Alpharetta, GA",11841,GEORGIA,ROCKDALE
SCHLEY,GA,13249,,,11842,GEORGIA,SCHLEY
SCREVEN,GA,13251,,,11850,GEORGIA,SCREVEN
SEMINOLE,GA,13253,,,11851,GEORGIA,SEMINOLE
SPALDING,GA,13255,12060.0,"Atlanta-Sandy Springs-Alpharetta, GA",11860,GEORGIA,SPALDING
STEPHENS,GA,13257,,,11861,GEORGIA,STEPHENS
STEWART,GA,13259,17980.0,"Columbus, GA-AL",11862,GEORGIA,STEWART
SUMTER,GA,13261,,,11870,GEORGIA,SUMTER
TALBOT,GA,13263,17980.0,"Columbus, GA-AL",11880,GEORGIA,TALBOT
TALIAFERRO,GA,13265,,,11881,GEORGIA,TALIAFERRO
TATTNALL,GA,13267,,,11882,GEORGIA,TATTNALL
TAYLOR,GA,13269,,,11883,GEORGIA,TAYLOR
TELFAIR,GA,13271,,,11884,GEORGIA,TELFAIR
TERRELL,GA,13273,10500.0,"Albany, GA",11885,GEORGIA,TERRELL
THOMAS,GA,13275,,,11890,GEORGIA,THOMAS
TIFT,GA,13277,,,11900,GEORGIA,TIFT
TOOMBS,GA,13279,,,11901,GEORGIA,TOOMBS
TOWNS,GA,13281,,,11902,GEORGIA,TOWNS
TREUTLEN,GA,13283,,,11903,GEORGIA,TREUTLEN
TROUP,GA,13285,,,11910,GEORGIA,TROUP
TURNER,GA,13287,,,11911,GEORGIA,TURNER
TWIGGS,GA,13289,31420.0,"Macon-Bibb County, GA",11912,GEORGIA,TWIGGS
UNION,GA,13291,,,11913,GEORGIA,UNION
UPSON,GA,13293,,,11920,GEORGIA,UPSON
WALKER,GA,13295,16860.0,"Chattanooga, TN-GA",11921,GEORGIA,WALKER
WALTON,GA,13297,12060.0,"Atlanta-Sandy Springs-Alpharetta, GA",11930,GEORGIA,WALTON
WARE,GA,13299,,,11940,GEORGIA,WARE
WARREN,GA,13301,,,11941,GEORGIA,WARREN
WASHINGTON,GA,13303,,,11950,GEORGIA,WASHINGTON
WAYNE,GA,13305,,,11960,GEORGIA,WAYNE
WEBSTER,GA,13307,,,11961,GEORGIA,WEBSTER
WHEELER,GA,13309,,,11962,GEORGIA,WHEELER
WHITE,GA,13311,,,11963,GEORGIA,WHITE
WHITFIELD,GA,13313,19140.0,"Dalton, GA",11970,GEORGIA,WHITFIELD
WILCOX,GA,13315,,,11971,GEORGIA,WILCOX
WILKES,GA,13317,,,11972,GEORGIA,WILKES
WILKINSON,GA,13319,,,11973,GEORGIA,WILKINSON
WORTH,GA,13321,10500.0,"Albany, GA",11980,GEORGIA,WORTH
STATEWIDE,GA,13990,,,,,
HAWAII,HI,15001,,,12010,HAWAII,HAWAII
HONOLULU,HI,15003,46520.0,"Urban Honolulu, HI",12020,HAWAII,HONOLULU
KALAWAO,HI,15005,,,12030,HAWAII,KALAWAO
KAUAI,HI,15007,,,12040,HAWAII,KAUAI
MAUI,HI,15009,27980.0,"Kahului-Wailuku-Lahaina, HI",12050,HAWAII,MAUI
STATEWIDE,HI,15990,,,,,
ADA,ID,16001,14260.0,"Boise City, ID",13000,IDAHO,ADA
ADAMS,ID,16003,,,13010,IDAHO,ADAMS
BANNOCK,ID,16005,38540.0,"Pocatello, ID",13020,IDAHO,BANNOCK
BEAR LAKE,ID,16007,,,13030,IDAHO,BEAR LAKE
BENEWAH,ID,16009,,,13040,IDAHO,BENEWAH
BINGHAM,ID,16011,,,13050,IDAHO,BINGHAM
BLAINE,ID,16013,,,13060,IDAHO,BLAINE
BOISE,ID,16015,14260.0,"Boise City, ID",13070,IDAHO,BOISE
BONNER,ID,16017,,,13080,IDAHO,BONNER
BONNEVILLE,ID,16019,26820.0,"Idaho Falls, ID",13090,IDAHO,BONNEVILLE
BOUNDARY,ID,16021,,,13100,IDAHO,BOUNDARY
BUTTE,ID,16023,26820.0,"Idaho Falls, ID",13110,IDAHO,BUTTE
CAMAS,ID,16025,,,13120,IDAHO,CAMAS
CANYON,ID,16027,14260.0,"Boise City, ID",13130,IDAHO,CANYON
CARIBOU,ID,16029,,,13140,IDAHO,CARIBOU
CASSIA,ID,16031,,,13150,IDAHO,CASSIA
CLARK,ID,16033,,,13160,IDAHO,CLARK
CLEARWATER,ID,16035,,,13170,IDAHO,CLEARWATER
CUSTER,ID,16037,,,13180,IDAHO,CUSTER
ELMORE,ID,16039,,,13190,IDAHO,ELMORE
FRANKLIN,ID,16041,30860.0,"Logan, UT-ID",13200,IDAHO,FRANKLIN
FREMONT,ID,16043,,,13210,IDAHO,FREMONT
GEM,ID,16045,14260.0,"Boise City, ID",13220,IDAHO,GEM
GOODING,ID,16047,,,13230,IDAHO,GOODING
IDAHO,ID,16049,,,13240,IDAHO,IDAHO
JEFFERSON,ID,16051,26820.0,"Idaho Falls, ID",13250,IDAHO,JEFFERSON
JEROME,ID,16053,46300.0,"Twin Falls, ID",13260,IDAHO,JEROME
KOOTENAI,ID,16055,17660.0,"Coeur d'Alene, ID",13270,IDAHO,KOOTENAI
LATAH,ID,16057,,,13280,IDAHO,LATAH
LEMHI,ID,16059,,,13290,IDAHO,LEMHI
LEWIS,ID,16061,,,13300,IDAHO,LEWIS
LINCOLN,ID,16063,,,13310,IDAHO,LINCOLN
MADISON,ID,16065,,,13320,IDAHO,MADISON
MINIDOKA,ID,16067,,,13330,IDAHO,MINIDOKA
NEZ PERCE,ID,16069,30300.0,"Lewiston, ID-WA",13340,IDAHO,NEZ PERCE
ONEIDA,ID,16071,,,13350,IDAHO,ONEIDA
OWYHEE,ID,16073,14260.0,"Boise City, ID",13360,IDAHO,OWYHEE
PAYETTE,ID,16075,,,13370,IDAHO,PAYETTE
POWER,ID,16077,38540.0,"Pocatello, ID",13380,IDAHO,POWER
SHOSHONE,ID,16079,,,13390,IDAHO,SHOSHONE
TETON,ID,16081,,,13400,IDAHO,TETON
TWIN FALLS,ID,16083,46300.0,"Twin Falls, ID",13410,IDAHO,TWIN FALLS
VALLEY,ID,16085,,,13420,IDAHO,VALLEY
WASHINGTON,ID,16087,,,13430,IDAHO,WASHINGTON
STATEWIDE,ID,16990,,,,,
ADAMS,IL,17001,,,14000,ILLINOIS,ADAMS
ALEXANDER,IL,17003,16020.0,"Cape Girardeau, MO-IL",14010,ILLINOIS,ALEXANDER
BOND,IL,17005,41180.0,"St. Louis, MO-IL",14020,ILLINOIS,BOND
BOONE,IL,17007,40420.0,"Rockford, IL",14030,ILLINOIS,BOONE
BROWN,IL,17009,,,14040,ILLINOIS,BROWN
BUREAU,IL,17011,,,14050,ILLINOIS,BUREAU
CALHOUN,IL,17013,41180.0,"St. Louis, MO-IL",14060,ILLINOIS,CALHOUN
CARROLL,IL,17015,,,14070,ILLINOIS,CARROLL
CASS,IL,17017,,,14080,ILLINOIS,CASS
CHAMPAIGN,IL,17019,16580.0,"Champaign-Urbana, IL",14090,ILLINOIS,CHAMPAIGN
CHRISTIAN,IL,17021,,,14100,ILLINOIS,CHRISTIAN
CLARK,IL,17023,,,14110,ILLINOIS,CLARK
CLAY,IL,17025,,,14120,ILLINOIS,CLAY
CLINTON,IL,17027,41180.0,"St. Louis, MO-IL",14130,ILLINOIS,CLINTON
COLES,IL,17029,,,14140,ILLINOIS,COLES
COOK,IL,17031,16984.0,"Chicago-Naperville-Evanston, IL",14141,ILLINOIS,COOK
CRAWFORD,IL,17033,,,14150,ILLINOIS,CRAWFORD
CUMBERLAND,IL,17035,,,14160,ILLINOIS,CUMBERLAND
DE KALB,IL,17037,20994.0,"Elgin, IL",14170,ILLINOIS,DEKALB
DE WITT,IL,17039,,,14180,ILLINOIS,DE WITT
DOUGLAS,IL,17041,,,14190,ILLINOIS,DOUGLAS
DU PAGE,IL,17043,16984.0,"Chicago-Naperville-Evanston, IL",14250,ILLINOIS,DUPAGE
EDGAR,IL,17045,,,14310,ILLINOIS,EDGAR
EDWARDS,IL,17047,,,14320,ILLINOIS,EDWARDS
EFFINGHAM,IL,17049,,,14330,ILLINOIS,EFFINGHAM
FAYETTE,IL,17051,,,14340,ILLINOIS,FAYETTE
FORD,IL,17053,,,14350,ILLINOIS,FORD
FRANKLIN,IL,17055,,,14360,ILLINOIS,FRANKLIN
FULTON,IL,17057,37900.0,"Peoria, IL",14370,ILLINOIS,FULTON
GALLATIN,IL,17059,,,14380,ILLINOIS,GALLATIN
GREENE,IL,17061,,,14390,ILLINOIS,GREENE
GRUNDY,IL,17063,16984.0,"Chicago-Naperville-Evanston, IL",14400,ILLINOIS,GRUNDY
HAMILTON,IL,17065,,,14410,ILLINOIS,HAMILTON
HANCOCK,IL,17067,,,14420,ILLINOIS,HANCOCK
HARDIN,IL,17069,,,14421,ILLINOIS,HARDIN
HENDERSON,IL,17071,,,14440,ILLINOIS,HENDERSON
HENRY,IL,17073,19340.0,"Davenport-Moline-Rock Island, IA-IL",14450,ILLINOIS,HENRY
IROQUOIS,IL,17075,,,14460,ILLINOIS,IROQUOIS
JACKSON,IL,17077,16060.0,"Carbondale-Marion, IL",14470,ILLINOIS,JACKSON
JASPER,IL,17079,,,14480,ILLINOIS,JASPER
JEFFERSON,IL,17081,,,14490,ILLINOIS,JEFFERSON
JERSEY,IL,17083,41180.0,"St. Louis, MO-IL",14500,ILLINOIS,JERSEY
JO DAVIESS,IL,17085,,,14510,ILLINOIS,JO DAVIESS
JOHNSON,IL,17087,16060.0,"Carbondale-Marion, IL",14520,ILLINOIS,JOHNSON
KANE,IL,17089,20994.0,"Elgin, IL",14530,ILLINOIS,KANE
KANKAKEE,IL,17091,28100.0,"Kankakee, IL",14540,ILLINOIS,KANKAKEE
KENDALL,IL,17093,20994.0,"Elgin, IL",14550,ILLINOIS,KENDALL
KNOX,IL,17095,,,14560,ILLINOIS,KNOX
LAKE,IL,17097,29404.0,"Lake County-Kenosha County, IL-WI",14570,ILLINOIS,LAKE
LA SALLE,IL,17099,,,14580,ILLINOIS,LA SALLE
LAWRENCE,IL,17101,,,14590,ILLINOIS,LAWRENCE
LEE,IL,17103,,,14600,ILLINOIS,LEE
LIVINGSTON,IL,17105,,,14610,ILLINOIS,LIVINGSTON
LOGAN,IL,17107,,,14620,ILLINOIS,LOGAN
MC DONOUGH,IL,17109,,,14630,ILLINOIS,MCDONOUGH
MC HENRY,IL,17111,16984.0,"Chicago-Naperville-Evanston, IL",14640,ILLINOIS,MCHENRY
MC LEAN,IL,17113,14010.0,"Bloomington, IL",14650,ILLINOIS,MCLEAN
MACON,IL,17115,19500.0,"Decatur, IL",14660,ILLINOIS,MACON
MACOUPIN,IL,17117,41180.0,"St. Louis, MO-IL",14670,ILLINOIS,MACOUPIN
MADISON,IL,17119,41180.0,"St. Louis, MO-IL",14680,ILLINOIS,MADISON
MARION,IL,17121,,,14690,ILLINOIS,MARION
MARSHALL,IL,17123,37900.0,"Peoria, IL",14700,ILLINOIS,MARSHALL
MASON,IL,17125,,,14710,ILLINOIS,MASON
MASSAC,IL,17127,,,14720,ILLINOIS,MASSAC
MENARD,IL,17129,44100.0,"Springfield, IL",14730,ILLINOIS,MENARD
MERCER,IL,17131,19340.0,"Davenport-Moline-Rock Island, IA-IL",14740,ILLINOIS,MERCER
MONROE,IL,17133,41180.0,"St. Louis, MO-IL",14750,ILLINOIS,MONROE
MONTGOMERY,IL,17135,,,14760,ILLINOIS,MONTGOMERY
MORGAN,IL,17137,,,14770,ILLINOIS,MORGAN
MOULTRIE,IL,17139,,,14780,ILLINOIS,MOULTRIE
OGLE,IL,17141,,,14790,ILLINOIS,OGLE
PEORIA,IL,17143,37900.0,"Peoria, IL",14800,ILLINOIS,PEORIA
PERRY,IL,17145,,,14810,ILLINOIS,PERRY
PIATT,IL,17147,16580.0,"Champaign-Urbana, IL",14820,ILLINOIS,PIATT
PIKE,IL,17149,,,14830,ILLINOIS,PIKE
POPE,IL,17151,,,14831,ILLINOIS,POPE
PULASKI,IL,17153,,,14850,ILLINOIS,PULASKI
PUTNAM,IL,17155,,,14860,ILLINOIS,PUTNAM
RANDOLPH,IL,17157,,,14870,ILLINOIS,RANDOLPH
RICHLAND,IL,17159,,,14880,ILLINOIS,RICHLAND
ROCK ISLAND,IL,17161,19340.0,"Davenport-Moline-Rock Island, IA-IL",14890,ILLINOIS,ROCK ISLAND
ST. CLAIR,IL,17163,41180.0,"St. Louis, MO-IL",14900,ILLINOIS,ST. CLAIR
SALINE,IL,17165,,,14910,ILLINOIS,SALINE
SANGAMON,IL,17167,44100.0,"Springfield, IL",14920,ILLINOIS,SANGAMON
SCHUYLER,IL,17169,,,14921,ILLINOIS,SCHUYLER
SCOTT,IL,17171,,,14940,ILLINOIS,SCOTT
SHELBY,IL,17173,,,14950,ILLINOIS,SHELBY
STARK,IL,17175,37900.0,"Peoria, IL",14960,ILLINOIS,STARK
STEPHENSON,IL,17177,,,14970,ILLINOIS,STEPHENSON
TAZEWELL,IL,17179,37900.0,"Peoria, IL",14980,ILLINOIS,TAZEWELL
UNION,IL,17181,,,14981,ILLINOIS,UNION
